user_id,variant,assignment_date,num_questions_asked_alltime,avg_word_count_alltime,quality_answer_rate_alltime,num_questions_post,avg_word_count_post,quality_answer_rate_post,asked_any_post,asked_any_alltime
1,control,2026-06-02,4,49.2,0.75,4,49.25,0.75,TRUE,TRUE
2,control,2026-06-02,7,33.4,0.571,7,33.42857142857143,0.5714285714285714,TRUE,TRUE
3,treatment,2026-06-02,5,35.2,0.4,5,35.2,0.4,TRUE,TRUE
4,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
5,control,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
6,control,2026-06-05,6,46,1,6,46,1,TRUE,TRUE
7,control,2026-06-01,8,33.6,0.625,8,33.625,0.625,TRUE,TRUE
8,control,2026-06-04,5,27.6,0.4,5,27.6,0.4,TRUE,TRUE
9,treatment,2026-06-05,2,32,1,1,39,1,TRUE,TRUE
10,control,2026-06-03,1,21,0,1,21,0,TRUE,TRUE
11,treatment,2026-06-05,5,36,0.8,5,36,0.8,TRUE,TRUE
12,treatment,2026-06-01,0,NA,NA,0,NA,NA,FALSE,FALSE
13,treatment,2026-06-02,3,46,1,3,46,1,TRUE,TRUE
14,treatment,2026-06-01,1,57,1,1,57,1,TRUE,TRUE
15,treatment,2026-06-02,2,33.5,1,2,33.5,1,TRUE,TRUE
16,control,2026-06-05,1,22,1,1,22,1,TRUE,TRUE
17,control,2026-06-03,5,40,0.4,5,40,0.4,TRUE,TRUE
18,control,2026-06-03,2,31,1,2,31,1,TRUE,TRUE
19,treatment,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
20,control,2026-06-03,2,50,1,2,50,1,TRUE,TRUE
21,treatment,2026-06-02,5,49,0.6,5,49,0.6,TRUE,TRUE
22,control,2026-06-03,5,46,0.8,5,46,0.8,TRUE,TRUE
23,control,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
24,control,2026-06-03,6,31.3,0.333,6,31.333333333333332,0.3333333333333333,TRUE,TRUE
25,control,2026-06-05,6,48.2,0.667,5,43.8,0.6,TRUE,TRUE
26,control,2026-06-01,8,31.8,1,8,31.75,1,TRUE,TRUE
27,control,2026-06-05,1,12,0,1,12,0,TRUE,TRUE
28,treatment,2026-06-03,1,30,1,1,30,1,TRUE,TRUE
29,treatment,2026-06-01,1,153,1,1,153,1,TRUE,TRUE
30,treatment,2026-06-05,6,36.5,0.833,6,36.5,0.8333333333333334,TRUE,TRUE
31,control,2026-06-01,1,26,0,1,26,0,TRUE,TRUE
32,control,2026-06-01,4,40.8,0.5,4,40.75,0.5,TRUE,TRUE
33,treatment,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
34,treatment,2026-06-02,1,48,1,1,48,1,TRUE,TRUE
35,control,2026-06-01,6,30,0.833,6,30,0.8333333333333334,TRUE,TRUE
36,treatment,2026-06-04,2,66,1,2,66,1,TRUE,TRUE
37,control,2026-06-03,3,25,0.667,3,25,0.6666666666666666,TRUE,TRUE
38,control,2026-06-04,6,27.5,0.5,6,27.5,0.5,TRUE,TRUE
39,treatment,2026-06-01,6,36.2,0.5,6,36.166666666666664,0.5,TRUE,TRUE
40,treatment,2026-06-05,4,35.2,0.5,4,35.25,0.5,TRUE,TRUE
41,treatment,2026-06-03,3,96,0.667,3,96,0.6666666666666666,TRUE,TRUE
42,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
43,treatment,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
44,control,2026-06-04,2,25,0.5,2,25,0.5,TRUE,TRUE
45,treatment,2026-06-02,2,37,1,2,37,1,TRUE,TRUE
46,control,2026-06-03,2,27.5,1,2,27.5,1,TRUE,TRUE
47,control,2026-06-02,3,26.7,0.667,3,26.666666666666668,0.6666666666666666,TRUE,TRUE
48,treatment,2026-06-02,2,46,0.5,2,46,0.5,TRUE,TRUE
49,treatment,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
50,treatment,2026-06-02,6,34.5,1,6,34.5,1,TRUE,TRUE
51,control,2026-06-04,2,26.5,1,2,26.5,1,TRUE,TRUE
52,treatment,2026-06-04,6,65,0.5,6,65,0.5,TRUE,TRUE
53,treatment,2026-06-02,2,36.5,0.5,2,36.5,0.5,TRUE,TRUE
54,treatment,2026-06-02,3,40,0.667,3,40,0.6666666666666666,TRUE,TRUE
55,treatment,2026-06-04,3,33,1,3,33,1,TRUE,TRUE
56,control,2026-06-04,1,60,1,1,60,1,TRUE,TRUE
57,treatment,2026-06-02,2,34,1,2,34,1,TRUE,TRUE
58,control,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
59,treatment,2026-06-04,6,42,0.833,6,42,0.8333333333333334,TRUE,TRUE
60,treatment,2026-06-01,2,31.5,0.5,2,31.5,0.5,TRUE,TRUE
61,treatment,2026-06-05,14,44.9,0.857,13,45.84615384615385,0.8461538461538461,TRUE,TRUE
62,control,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
63,treatment,2026-06-05,5,76,1,5,76,1,TRUE,TRUE
64,control,2026-06-05,3,32,1,3,32,1,TRUE,TRUE
65,treatment,2026-06-02,4,49.5,0.75,4,49.5,0.75,TRUE,TRUE
66,treatment,2026-06-05,3,41,0.333,3,41,0.3333333333333333,TRUE,TRUE
67,control,2026-06-03,5,31.8,0.4,5,31.8,0.4,TRUE,TRUE
68,treatment,2026-06-03,11,43.8,0.455,10,45.4,0.5,TRUE,TRUE
69,treatment,2026-06-03,1,108,0,1,108,0,TRUE,TRUE
70,treatment,2026-06-03,6,54.7,0.667,6,54.666666666666664,0.6666666666666666,TRUE,TRUE
71,treatment,2026-06-05,4,56.5,0.75,3,57.333333333333336,1,TRUE,TRUE
72,control,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
73,control,2026-06-05,2,33.5,1,2,33.5,1,TRUE,TRUE
74,treatment,2026-06-03,4,42,1,4,42,1,TRUE,TRUE
75,treatment,2026-06-03,3,68.3,0.667,3,68.33333333333333,0.6666666666666666,TRUE,TRUE
76,treatment,2026-06-03,4,33.8,0.5,4,33.75,0.5,TRUE,TRUE
77,treatment,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
78,treatment,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
79,treatment,2026-06-01,1,51,0,1,51,0,TRUE,TRUE
80,control,2026-06-01,3,49.7,0.667,3,49.666666666666664,0.6666666666666666,TRUE,TRUE
81,treatment,2026-06-03,7,33,0.429,7,33,0.42857142857142855,TRUE,TRUE
82,control,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
83,treatment,2026-06-04,2,50,1,1,55,1,TRUE,TRUE
84,treatment,2026-06-05,2,78.5,1,2,78.5,1,TRUE,TRUE
85,control,2026-06-05,3,21.7,1,3,21.666666666666668,1,TRUE,TRUE
86,treatment,2026-06-01,7,51.1,0.571,7,51.142857142857146,0.5714285714285714,TRUE,TRUE
87,control,2026-06-03,5,32.6,0.8,5,32.6,0.8,TRUE,TRUE
88,treatment,2026-06-05,6,64.2,1,5,65.2,1,TRUE,TRUE
89,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
90,treatment,2026-06-04,2,64.5,1,2,64.5,1,TRUE,TRUE
91,treatment,2026-06-02,2,25.5,1,2,25.5,1,TRUE,TRUE
92,treatment,2026-06-05,3,66.3,0.667,3,66.33333333333333,0.6666666666666666,TRUE,TRUE
93,treatment,2026-06-02,1,66,0,0,NA,NA,FALSE,TRUE
94,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
95,control,2026-06-01,1,44,0,1,44,0,TRUE,TRUE
96,control,2026-06-01,3,28.3,0.667,3,28.333333333333332,0.6666666666666666,TRUE,TRUE
97,control,2026-06-05,5,56,0.6,4,37.5,0.5,TRUE,TRUE
98,control,2026-06-03,2,51.5,1,2,51.5,1,TRUE,TRUE
99,control,2026-06-05,11,29,0.727,10,27.4,0.7,TRUE,TRUE
100,treatment,2026-06-03,1,64,1,1,64,1,TRUE,TRUE
101,treatment,2026-06-03,7,31.6,0.571,7,31.571428571428573,0.5714285714285714,TRUE,TRUE
102,control,2026-06-05,10,41.1,0.7,10,41.1,0.7,TRUE,TRUE
103,treatment,2026-06-03,1,33,1,1,33,1,TRUE,TRUE
104,control,2026-06-03,1,20,0,1,20,0,TRUE,TRUE
105,treatment,2026-06-02,2,80,1,2,80,1,TRUE,TRUE
106,treatment,2026-06-05,6,39.3,1,5,39.8,1,TRUE,TRUE
107,control,2026-06-01,4,23,0.75,4,23,0.75,TRUE,TRUE
108,control,2026-06-02,2,45,0.5,2,45,0.5,TRUE,TRUE
109,treatment,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
110,control,2026-06-02,8,30.1,0.875,8,30.125,0.875,TRUE,TRUE
111,treatment,2026-06-01,2,81,1,2,81,1,TRUE,TRUE
112,control,2026-06-03,1,111,0,1,111,0,TRUE,TRUE
