term,estimate,std.error,p.value,conf.low,conf.high
(Intercept),0.9717658694759426,0.032309484049450075,2.0596194236985143e-196,0.9084384111347216,1.0350933278171637
word_count,0.005077696931636317,2.1230716277685275e-4,1.770529901283631e-125,0.004661569178382306,0.005493824684890328
num_views,0.01752013380272029,8.550310589180621e-4,8.373901396154361e-93,0.015844249914224545,0.019196017691216035
topiceducation,0.028835553299457133,0.021267899902224434,0.17516293295581115,-0.012850102930831706,0.07052120952974597
topicfinance,0.020723577187474727,0.021438339008795125,0.3337204079948862,-0.0212961442790324,0.06274329865398186
topichealth,0.024986333561932833,0.021458104750445104,0.2442595686075182,-0.01707212929019985,0.06704479641406552
topicpolitics,0.043862033988808044,0.022086426625824045,0.04704864593404033,5.720433497556354e-4,0.08715202462786045
topicrelationships,0.056295145483675604,0.01970127449626631,0.004273115001328844,0.017680117214522534,0.09491017375282867
topicscience,0.05741627791061341,0.020536515724835756,0.00517953734426017,0.017164154353087817,0.09766840146813902
topicsports,0.010707685556725492,0.02200087968007641,0.626478368082664,-0.032414630766179973,0.05383000187963096
topictechnology,0.030371947604990793,0.018519579925889956,0.10101534574217451,-0.00592692750111511,0.0666708227110967
topictravel,0.05736577687936428,0.02198797034806788,0.009085320270871973,0.014268763194648024,0.10046279056408054
device_typedesktop,-1.6562310358398074e-4,0.010360179269139456,0.9872452388361345,-0.020471853313570185,0.02014060710640222
device_typetablet,0.009465193746490463,0.019734587039377083,0.6314971214056803,-0.029215128003761193,0.04814551549674212
countryBR,-0.004404806611580768,0.02645105637240899,0.8677433814564586,-0.05624958902721113,0.04743997580404959
countryCA,-0.015783060860912967,0.029710968118589105,0.5952694561354157,-0.07401735803902967,0.042451236317203746
countryDE,-0.02497299854516188,0.02944161019592222,0.39632016672454673,-0.08267934694512856,0.03273334985480479
countryGB,0.0031132416304383882,0.027731007910920757,0.9106133174062958,-0.051240280250354237,0.057466763511231006
countryIN,-2.386620357823485e-4,0.024182211151597074,0.9921256001684988,-0.047636446753035966,0.047159122681471266
countryPH,0.019011414996238214,0.02683903366651281,0.47873264945352,-0.033593813358178896,0.07161664335065532
countryUS,-0.0021709147059417173,0.023838429184272723,0.927439155204529,-0.04889487751440609,0.044553048102522655
