term,estimate,std.error,p.value,odds_ratio,or_ci_low,or_ci_high
(Intercept),1.8744305551900255,0.1731948249050727,2.6882760838829918e-27,6.51710693076911,4.660347098303143,9.193272356398463
device_typedesktop,-0.0010192629912484312,0.05974781133259069,0.9863892125645415,0.9989812562808343,0.889057180866262,1.1237403066435754
device_typetablet,0.04260287445371723,0.11726187348409853,0.7163703736177273,1.0435234027519826,0.8335932356327598,1.3207101858384778
countryBR,-0.08913042240459343,0.1496102013188447,0.5513416030579541,0.9147262649953398,0.6788846866430964,1.2213502372542262
countryCA,-0.06522277206364771,0.16738886077072698,0.696796688536576,0.9368587341751905,0.6732407473183282,1.2988749822055288
countryDE,0.10991032225073713,0.17368818559045116,0.5268626082514805,1.116177969642436,0.7931435236934312,1.5686784229245703
countryGB,-0.1268839198593536,0.1551705108325207,0.4135248549156913,0.8808359142197402,0.6471409975478649,1.1899466046520875
countryIN,-0.0508380206651116,0.13767041754311177,0.7119239638857977,0.9504326085064871,0.7209332711317682,1.2376252295949293
countryPH,0.03774330025466172,0.15441098338101664,0.8068946822257546,1.038464625056087,0.7640478519576849,1.4007470642604234
countryUS,0.025204673130921233,0.13581912761872503,0.8527778376594066,1.025524996457577,0.7805361840405192,1.3302538022511468
account_age_at_assignment_days,-1.7931077782689687e-5,8.132095412330867e-5,0.8254836167115888,0.9999820690829782,0.9998226926871284,1.0001415013386044
non_ask_activity,0.005315005496491946,0.0070839078567171915,0.4530783409993713,1.005329155195675,0.9914882157731956,1.0194086825773634
