question_id,user_id,topic,created_date,word_count,num_views,num_answers,num_upvotes,got_quality_answer,is_word_count_outlier,is_upvotes_outlier
1,25,sports,2026-06-01,70,33,1,3,TRUE,FALSE,FALSE
2,32,technology,2026-06-01,48,23,0,1,FALSE,FALSE,FALSE
3,61,education,2026-06-01,32,20,3,14,TRUE,FALSE,FALSE
4,80,travel,2026-06-01,38,23,2,12,TRUE,FALSE,FALSE
5,93,career,2026-06-01,66,28,1,1,FALSE,FALSE,FALSE
6,120,career,2026-06-01,39,22,0,0,FALSE,FALSE,FALSE
7,183,science,2026-06-01,18,20,2,13,TRUE,FALSE,FALSE
8,192,sports,2026-06-01,17,23,2,3,TRUE,FALSE,FALSE
9,218,technology,2026-06-01,25,24,2,8,TRUE,FALSE,FALSE
10,222,relationships,2026-06-01,5,21,1,5,TRUE,FALSE,FALSE
11,233,career,2026-06-01,42,20,1,4,TRUE,FALSE,FALSE
12,245,health,2026-06-01,42,19,0,0,FALSE,FALSE,FALSE
13,247,politics,2026-06-01,15,20,0,1,FALSE,FALSE,FALSE
14,249,finance,2026-06-01,34,16,2,8,TRUE,FALSE,FALSE
15,258,relationships,2026-06-01,39,25,0,0,FALSE,FALSE,FALSE
16,280,technology,2026-06-01,35,17,2,12,TRUE,FALSE,FALSE
17,286,science,2026-06-01,48,29,3,11,TRUE,FALSE,FALSE
18,403,education,2026-06-01,38,27,4,22,TRUE,FALSE,FALSE
19,417,travel,2026-06-01,89,26,2,13,TRUE,FALSE,FALSE
20,427,relationships,2026-06-01,67,14,2,9,TRUE,FALSE,FALSE
21,438,technology,2026-06-01,24,24,2,7,TRUE,FALSE,FALSE
22,441,finance,2026-06-01,41,21,1,5,TRUE,FALSE,FALSE
23,508,career,2026-06-01,9,11,1,5,TRUE,FALSE,FALSE
24,511,career,2026-06-01,57,21,1,1,FALSE,FALSE,FALSE
25,519,travel,2026-06-01,33,19,2,4,TRUE,FALSE,FALSE
26,520,health,2026-06-01,27,29,0,1,FALSE,FALSE,FALSE
27,523,science,2026-06-01,28,20,1,5,TRUE,FALSE,FALSE
28,527,finance,2026-06-01,29,19,2,7,TRUE,FALSE,FALSE
29,537,science,2026-06-01,68,25,3,16,TRUE,FALSE,FALSE
30,568,relationships,2026-06-01,26,21,1,5,TRUE,FALSE,FALSE
31,570,career,2026-06-01,24,19,3,14,TRUE,FALSE,FALSE
32,602,relationships,2026-06-01,11,15,0,0,FALSE,FALSE,FALSE
33,610,relationships,2026-06-01,79,20,2,9,TRUE,FALSE,FALSE
34,632,technology,2026-06-01,21,30,2,11,TRUE,FALSE,FALSE
35,668,health,2026-06-01,35,12,3,10,TRUE,FALSE,FALSE
36,736,politics,2026-06-01,30,14,1,6,TRUE,FALSE,FALSE
37,771,travel,2026-06-01,42,20,1,5,TRUE,FALSE,FALSE
38,772,career,2026-06-01,58,27,1,5,TRUE,FALSE,FALSE
39,787,politics,2026-06-01,48,36,2,11,TRUE,FALSE,FALSE
40,800,politics,2026-06-01,80,22,0,0,FALSE,FALSE,FALSE
41,824,relationships,2026-06-01,52,29,3,13,TRUE,FALSE,FALSE
42,831,travel,2026-06-01,43,23,1,5,TRUE,FALSE,FALSE
43,848,science,2026-06-01,42,22,2,8,TRUE,FALSE,FALSE
44,849,education,2026-06-01,50,21,4,20,TRUE,FALSE,FALSE
45,865,education,2026-06-01,28,26,1,1,FALSE,FALSE,FALSE
