user_id,variant,country,device_type,num_questions_asked,avg_word_count,quality_answer_rate,assignment_date
1,control,IN,mobile,4,49.2,0.75,2026-06-02
2,control,CA,desktop,7,33.4,0.571,2026-06-02
3,treatment,BR,mobile,5,35.2,0.4,2026-06-02
4,treatment,BR,mobile,0,,,2026-06-05
5,control,PH,desktop,0,,,2026-06-02
6,control,PH,tablet,6,46.0,1.0,2026-06-05
7,control,BR,mobile,8,33.6,0.625,2026-06-01
8,control,IN,mobile,5,27.6,0.4,2026-06-04
9,treatment,US,mobile,2,32.0,1.0,2026-06-05
10,control,IN,mobile,1,21.0,0.0,2026-06-03
11,treatment,BR,desktop,5,36.0,0.8,2026-06-05
12,treatment,IN,mobile,0,,,2026-06-01
13,treatment,US,mobile,3,46.0,1.0,2026-06-02
14,treatment,IN,desktop,1,57.0,1.0,2026-06-01
15,treatment,GB,mobile,2,33.5,1.0,2026-06-02
16,control,US,mobile,1,22.0,1.0,2026-06-05
17,control,BR,mobile,5,40.0,0.4,2026-06-03
18,control,CA,tablet,2,31.0,1.0,2026-06-03
19,treatment,IN,desktop,0,,,2026-06-03
20,control,IN,mobile,2,50.0,1.0,2026-06-03
21,treatment,US,mobile,5,49.0,0.6,2026-06-02
22,control,US,desktop,5,46.0,0.8,2026-06-03
23,control,US,desktop,0,,,2026-06-03
24,control,CA,mobile,6,31.3,0.333,2026-06-03
25,control,DE,mobile,6,48.2,0.667,2026-06-05
26,control,US,mobile,8,31.8,1.0,2026-06-01
27,control,CA,desktop,1,12.0,0.0,2026-06-05
28,treatment,US,desktop,1,30.0,1.0,2026-06-03
29,treatment,DE,mobile,1,153.0,1.0,2026-06-01
30,treatment,PH,desktop,6,36.5,0.833,2026-06-05
31,control,IN,desktop,1,26.0,0.0,2026-06-01
32,control,US,mobile,4,40.8,0.5,2026-06-01
33,treatment,BR,mobile,0,,,2026-06-04
34,treatment,DE,mobile,1,48.0,1.0,2026-06-02
35,control,BR,desktop,6,30.0,0.833,2026-06-01
36,treatment,AU,mobile,2,66.0,1.0,2026-06-04
37,control,US,mobile,3,25.0,0.667,2026-06-03
38,control,AU,desktop,6,27.5,0.5,2026-06-04
39,treatment,IN,mobile,6,36.2,0.5,2026-06-01
40,treatment,GB,mobile,4,35.2,0.5,2026-06-05
41,treatment,AU,mobile,3,96.0,0.667,2026-06-03
42,treatment,US,mobile,0,,,2026-06-05
43,treatment,BR,mobile,0,,,2026-06-03
44,control,AU,mobile,2,25.0,0.5,2026-06-04
45,treatment,BR,mobile,2,37.0,1.0,2026-06-02
46,control,PH,mobile,2,27.5,1.0,2026-06-03
47,control,DE,mobile,3,26.7,0.667,2026-06-02
48,treatment,PH,desktop,2,46.0,0.5,2026-06-02
49,treatment,US,mobile,0,,,2026-06-03
50,treatment,PH,mobile,6,34.5,1.0,2026-06-02
51,control,IN,mobile,2,26.5,1.0,2026-06-04
52,treatment,GB,mobile,6,65.0,0.5,2026-06-04
53,treatment,BR,mobile,2,36.5,0.5,2026-06-02
54,treatment,GB,mobile,3,40.0,0.667,2026-06-02
55,treatment,US,tablet,3,33.0,1.0,2026-06-04
56,control,BR,mobile,1,60.0,1.0,2026-06-04
57,treatment,IN,mobile,2,34.0,1.0,2026-06-02
58,control,CA,mobile,0,,,2026-06-04
59,treatment,US,mobile,6,42.0,0.833,2026-06-04
60,treatment,BR,mobile,2,31.5,0.5,2026-06-01
61,treatment,US,desktop,14,44.9,0.857,2026-06-05
62,control,DE,mobile,0,,,2026-06-04
63,treatment,BR,mobile,5,76.0,1.0,2026-06-05
64,control,IN,mobile,3,32.0,1.0,2026-06-05
65,treatment,DE,mobile,4,49.5,0.75,2026-06-02
66,treatment,US,mobile,3,41.0,0.333,2026-06-05
67,control,BR,mobile,5,31.8,0.4,2026-06-03
68,treatment,US,mobile,11,43.8,0.455,2026-06-03
69,treatment,IN,desktop,1,108.0,0.0,2026-06-03
70,treatment,US,desktop,6,54.7,0.667,2026-06-03
71,treatment,PH,desktop,4,56.5,0.75,2026-06-05
72,control,US,desktop,0,,,2026-06-05
73,control,US,mobile,2,33.5,1.0,2026-06-05
74,treatment,IN,mobile,4,42.0,1.0,2026-06-03
75,treatment,US,mobile,3,68.3,0.667,2026-06-03
76,treatment,US,tablet,4,33.8,0.5,2026-06-03
77,treatment,US,mobile,0,,,2026-06-04
78,treatment,US,mobile,0,,,2026-06-02
79,treatment,PH,mobile,1,51.0,0.0,2026-06-01
80,control,CA,mobile,3,49.7,0.667,2026-06-01
81,treatment,US,mobile,7,33.0,0.429,2026-06-03
82,control,GB,mobile,0,,,2026-06-02
83,treatment,GB,mobile,2,50.0,1.0,2026-06-04
84,treatment,US,tablet,2,78.5,1.0,2026-06-05
