question_id,user_id,topic,created_date,word_count,num_views,num_answers,num_upvotes,got_quality_answer
1,25,sports,2026-06-01,70,33,1,3,1
2,32,technology,2026-06-01,48,23,0,1,0
3,61,education,2026-06-01,32,20,3,14,1
4,80,travel,2026-06-01,38,23,2,12,1
5,93,career,2026-06-01,66,28,1,1,0
6,120,career,2026-06-01,39,22,0,0,0
7,183,science,2026-06-01,18,20,2,13,1
8,192,sports,2026-06-01,17,23,2,3,1
9,218,technology,2026-06-01,25,24,2,8,1
10,222,relationships,2026-06-01,5,21,1,5,1
11,233,career,2026-06-01,42,20,1,4,1
12,245,health,2026-06-01,42,19,0,0,0
13,247,politics,2026-06-01,15,20,0,1,0
14,249,finance,2026-06-01,34,16,2,8,1
15,258,relationships,2026-06-01,39,25,0,0,0
16,280,technology,2026-06-01,35,17,2,12,1
17,286,science,2026-06-01,48,29,3,11,1
18,403,education,2026-06-01,38,27,4,22,1
19,417,travel,2026-06-01,89,26,2,13,1
20,427,relationships,2026-06-01,67,14,2,9,1
21,438,technology,2026-06-01,24,24,2,7,1
22,441,finance,2026-06-01,41,21,1,5,1
23,508,career,2026-06-01,9,11,1,5,1
24,511,career,2026-06-01,57,21,1,1,0
25,519,travel,2026-06-01,33,19,2,4,1
26,520,health,2026-06-01,27,29,0,1,0
27,523,science,2026-06-01,28,20,1,5,1
28,527,finance,2026-06-01,29,19,2,7,1
29,537,science,2026-06-01,68,25,3,16,1
30,568,relationships,2026-06-01,26,21,1,5,1
31,570,career,2026-06-01,24,19,3,14,1
32,602,relationships,2026-06-01,11,15,0,0,0
33,610,relationships,2026-06-01,79,20,2,9,1
34,632,technology,2026-06-01,21,30,2,11,1
35,668,health,2026-06-01,35,12,3,10,1
36,736,politics,2026-06-01,30,14,1,6,1
37,771,travel,2026-06-01,42,20,1,5,1
38,772,career,2026-06-01,58,27,1,5,1
39,787,politics,2026-06-01,48,36,2,11,1
40,800,politics,2026-06-01,80,22,0,0,0
41,824,relationships,2026-06-01,52,29,3,13,1
42,831,travel,2026-06-01,43,23,1,5,1
43,848,science,2026-06-01,42,22,2,8,1
44,849,education,2026-06-01,50,21,4,20,1
45,865,education,2026-06-01,28,26,1,1,0
46,884,sports,2026-06-01,47,33,0,1,0
47,933,technology,2026-06-01,20,29,0,1,0
48,952,education,2026-06-01,42,25,2,7,1
49,970,relationships,2026-06-01,22,34,1,3,1
50,985,relationships,2026-06-01,57,22,2,4,1
51,990,education,2026-06-01,21,11,0,0,0
52,1000,science,2026-06-01,136,29,0,0,0
53,1013,travel,2026-06-01,35,20,0,1,0
54,1053,technology,2026-06-01,50,14,1,3,1
55,1112,science,2026-06-01,87,28,3,17,1
56,1137,travel,2026-06-01,31,14,0,0,0
57,1139,science,2026-06-01,34,19,1,4,1
58,1192,health,2026-06-01,50,12,1,0,0
59,1207,health,2026-06-01,43,30,4,20,1
60,1210,relationships,2026-06-01,19,18,1,3,1
61,1250,sports,2026-06-01,31,24,2,11,1
62,1277,finance,2026-06-01,37,23,2,11,1
63,1302,sports,2026-06-01,38,22,1,3,1
64,1309,relationships,2026-06-01,39,22,1,4,1
65,1325,politics,2026-06-01,34,15,1,4,1
66,1326,politics,2026-06-01,32,20,3,12,1
67,1333,education,2026-06-01,29,31,0,1,0
68,1356,travel,2026-06-01,23,23,0,0,0
69,1373,travel,2026-06-01,77,22,1,3,1
70,1389,travel,2026-06-01,33,31,2,11,1
71,1413,sports,2026-06-01,15,15,0,1,0
72,1448,career,2026-06-01,16,9,0,0,0
73,1457,relationships,2026-06-01,37,28,2,8,1
74,1465,career,2026-06-01,30,34,0,1,0
75,1494,travel,2026-06-01,48,21,2,13,1
76,1496,technology,2026-06-01,73,20,0,1,0
77,1510,relationships,2026-06-01,28,19,2,10,1
78,1536,sports,2026-06-01,17,15,0,0,0
79,1581,politics,2026-06-01,24,22,3,8,1
80,1599,sports,2026-06-01,49,32,1,5,1
81,1620,career,2026-06-01,24,24,4,15,1
82,1633,science,2026-06-01,28,25,0,0,0
83,1643,travel,2026-06-01,59,23,2,6,1
84,1721,sports,2026-06-01,21,15,0,0,0
85,1724,career,2026-06-01,62,22,2,10,1
86,1728,finance,2026-06-01,33,20,0,0,0
87,1759,finance,2026-06-01,34,20,3,14,1
88,1768,sports,2026-06-01,60,39,3,15,1
89,1782,health,2026-06-01,42,28,1,7,1
90,1803,sports,2026-06-01,52,26,4,20,1
91,1810,technology,2026-06-01,50,20,0,0,0
92,1811,relationships,2026-06-01,37,23,1,4,1
93,1827,travel,2026-06-01,23,18,4,15,1
94,1832,technology,2026-06-01,32,20,0,0,0
95,1837,finance,2026-06-01,31,28,3,11,1
96,1847,science,2026-06-01,58,29,0,1,0
97,1849,sports,2026-06-01,31,27,1,4,1
98,1864,relationships,2026-06-01,78,17,2,8,1
99,1876,technology,2026-06-01,76,47,3,23,1
100,1904,health,2026-06-01,52,28,0,0,0
101,1927,finance,2026-06-01,38,19,2,8,1
102,1933,education,2026-06-01,46,25,1,4,1
103,1966,technology,2026-06-01,66,32,1,4,1
104,1975,finance,2026-06-01,34,16,1,3,1
105,2024,education,2026-06-01,31,26,1,3,1
