activity_id,user_id,question_id,activity_type,activity_date
1,25,1,ask,2026-06-01
2,5049,1,view,2026-06-01
3,2690,1,upvote,2026-06-01
4,1043,1,view,2026-06-01
5,1485,1,view,2026-06-01
6,7295,1,view,2026-06-01
7,149,1,view,2026-06-01
8,32,2,ask,2026-06-01
9,10504,2,view,2026-06-01
10,9934,2,view,2026-06-01
11,6795,2,upvote,2026-06-01
12,61,3,ask,2026-06-01
13,4345,3,view,2026-06-01
14,171,3,view,2026-06-01
15,9186,3,upvote,2026-06-01
16,7782,3,view,2026-06-01
17,7574,3,view,2026-06-01
18,3013,3,view,2026-06-01
19,80,4,ask,2026-06-01
20,4581,4,view,2026-06-01
21,176,4,view,2026-06-01
22,7682,4,answer,2026-06-01
23,3476,4,view,2026-06-01
24,3483,4,answer,2026-06-01
25,93,5,ask,2026-06-01
26,6540,5,view,2026-06-01
27,5166,5,view,2026-06-01
28,2155,5,view,2026-06-01
29,1949,5,view,2026-06-01
30,8801,5,view,2026-06-01
31,120,6,ask,2026-06-01
32,9946,6,view,2026-06-01
33,7522,6,upvote,2026-06-01
34,183,7,ask,2026-06-01
35,7476,7,view,2026-06-01
36,9746,7,answer,2026-06-01
37,7880,7,upvote,2026-06-01
38,1157,7,view,2026-06-01
39,3937,7,answer,2026-06-01
40,192,8,ask,2026-06-01
41,11582,8,view,2026-06-01
42,11123,8,view,2026-06-01
43,7617,8,view,2026-06-01
44,10018,8,view,2026-06-01
45,1502,8,view,2026-06-01
46,218,9,ask,2026-06-01
47,1229,9,view,2026-06-01
48,4344,9,upvote,2026-06-01
49,2154,9,view,2026-06-01
50,10316,9,view,2026-06-01
51,2029,9,view,2026-06-01
52,1968,9,view,2026-06-01
53,222,10,ask,2026-06-01
54,7789,10,view,2026-06-01
55,1306,10,view,2026-06-01
56,105,10,upvote,2026-06-01
57,4591,10,upvote,2026-06-01
58,233,11,ask,2026-06-01
59,10852,11,view,2026-06-01
60,8506,11,upvote,2026-06-01
61,11707,11,view,2026-06-01
62,9493,11,view,2026-06-01
63,245,12,ask,2026-06-01
64,2484,12,view,2026-06-01
65,2199,12,view,2026-06-01
66,247,13,ask,2026-06-01
67,4092,13,view,2026-06-01
68,795,13,answer,2026-06-01
69,624,13,view,2026-06-01
70,249,14,ask,2026-06-01
71,2749,14,view,2026-06-01
72,935,14,upvote,2026-06-01
73,6531,14,view,2026-06-01
74,4322,14,view,2026-06-01
75,3267,14,view,2026-06-01
76,258,15,ask,2026-06-01
77,2611,15,upvote,2026-06-01
78,977,15,view,2026-06-01
79,7755,15,view,2026-06-01
80,280,16,ask,2026-06-01
81,9917,16,view,2026-06-01
82,11669,16,upvote,2026-06-01
83,964,16,upvote,2026-06-01
84,4804,16,view,2026-06-01
85,8079,16,answer,2026-06-01
86,286,17,ask,2026-06-01
87,1331,17,view,2026-06-01
88,11079,17,view,2026-06-01
89,8854,17,upvote,2026-06-01
90,9833,17,upvote,2026-06-01
91,4289,17,view,2026-06-01
92,8871,17,view,2026-06-01
93,3150,17,upvote,2026-06-01
94,403,18,ask,2026-06-01
95,1350,18,view,2026-06-01
96,6063,18,view,2026-06-01
97,3150,18,upvote,2026-06-01
98,1858,18,view,2026-06-01
99,11734,18,view,2026-06-01
100,4791,18,answer,2026-06-01
101,6628,18,view,2026-06-01
102,9001,18,view,2026-06-01
