user_id,signup_date,country,device_type
1,2026-04-14,IN,mobile
2,2024-02-24,CA,desktop
3,2024-06-08,BR,mobile
4,2026-03-01,BR,mobile
5,2023-06-04,PH,desktop
6,2025-08-18,PH,tablet
7,2025-07-08,BR,mobile
8,2025-09-29,IN,mobile
9,2025-04-07,US,mobile
10,2025-10-09,IN,mobile
11,2025-03-22,BR,desktop
12,2023-09-25,IN,mobile
13,2024-11-20,US,mobile
14,2023-05-18,IN,desktop
15,2024-11-23,GB,mobile
16,2025-06-13,US,mobile
17,2023-10-23,BR,mobile
18,2023-09-16,CA,tablet
19,2023-07-29,IN,desktop
20,2023-06-26,IN,mobile
21,2026-04-03,US,mobile
22,2024-09-09,US,desktop
23,2025-06-23,US,desktop
24,2025-07-20,CA,mobile
25,2025-07-24,DE,mobile
26,2023-09-11,US,mobile
27,2023-10-19,CA,desktop
28,2025-08-25,US,desktop
29,2025-01-08,DE,mobile
30,2023-12-17,PH,desktop
31,2025-11-10,IN,desktop
32,2024-04-25,US,mobile
33,2024-12-05,BR,mobile
34,2023-05-13,DE,mobile
35,2023-12-20,BR,desktop
36,2025-08-04,AU,mobile
37,2023-08-29,US,mobile
38,2023-10-11,AU,desktop
39,2025-08-26,IN,mobile
40,2024-09-03,GB,mobile
41,2023-10-16,AU,mobile
42,2025-08-05,US,mobile
43,2025-07-20,BR,mobile
44,2025-10-20,AU,mobile
45,2026-04-24,BR,mobile
46,2024-09-27,PH,mobile
47,2026-04-14,DE,mobile
48,2024-06-20,PH,desktop
49,2025-01-01,US,mobile
50,2025-09-29,PH,mobile
51,2025-03-05,IN,mobile
52,2026-04-15,GB,mobile
53,2025-11-16,BR,mobile
54,2024-10-28,GB,mobile
55,2026-02-01,US,tablet
56,2024-01-01,BR,mobile
57,2025-07-06,IN,mobile
58,2023-05-24,CA,mobile
59,2025-10-16,US,mobile
60,2024-05-01,BR,mobile
61,2024-09-07,US,desktop
62,2023-05-25,DE,mobile
63,2024-05-10,BR,mobile
64,2023-07-26,IN,mobile
65,2024-11-05,DE,mobile
66,2025-08-20,US,mobile
67,2025-09-23,BR,mobile
68,2023-07-24,US,mobile
69,2025-09-07,IN,desktop
70,2023-12-30,US,desktop
71,2024-08-23,PH,desktop
72,2025-06-11,US,desktop
73,2025-01-07,US,mobile
74,2023-10-13,IN,mobile
75,2024-11-19,US,mobile
76,2023-07-25,US,tablet
77,2023-04-22,US,mobile
78,2025-05-17,US,mobile
79,2024-08-25,PH,mobile
80,2024-08-24,CA,mobile
81,2024-08-05,US,mobile
82,2026-02-08,GB,mobile
83,2025-02-24,GB,mobile
84,2024-06-19,US,tablet
85,2023-05-24,BR,mobile
86,2025-07-28,IN,desktop
87,2024-04-09,IN,mobile
88,2023-11-19,IN,mobile
89,2023-05-17,BR,mobile
90,2025-10-11,US,mobile
91,2024-03-05,CA,desktop
92,2025-05-02,IN,mobile
93,2024-12-04,IN,mobile
94,2026-04-16,DE,mobile
95,2024-01-08,IN,mobile
96,2026-03-25,US,desktop
97,2025-02-19,IN,mobile
98,2024-09-28,BR,desktop
99,2024-03-11,AU,mobile
100,2024-11-01,US,mobile
101,2023-08-25,IN,desktop
102,2025-12-04,US,mobile
103,2025-06-30,US,desktop
104,2025-07-05,US,desktop
105,2025-02-12,US,mobile
106,2026-04-29,IN,tablet
107,2024-12-16,AU,mobile
108,2025-02-11,US,mobile
109,2024-06-17,PH,tablet
110,2024-06-28,IN,desktop
111,2025-06-07,DE,desktop
112,2024-12-19,IN,mobile
113,2024-09-21,DE,mobile
114,2023-08-29,PH,mobile
115,2026-02-02,US,mobile
116,2024-05-11,IN,desktop
117,2026-01-29,CA,mobile
118,2025-06-25,PH,desktop
119,2024-11-29,IN,mobile
120,2023-09-27,CA,desktop
121,2025-04-03,IN,mobile
122,2024-09-25,GB,mobile
123,2024-06-24,GB,desktop
124,2023-11-27,PH,mobile
125,2025-01-24,CA,mobile
126,2024-07-09,US,mobile
127,2023-08-25,IN,mobile
128,2024-12-07,PH,desktop
129,2023-05-01,AU,desktop
130,2025-01-24,US,mobile
131,2024-12-12,BR,tablet
132,2026-04-06,CA,desktop
133,2024-08-17,IN,desktop
134,2024-10-30,US,mobile
135,2025-01-02,US,mobile
136,2024-05-03,PH,desktop
137,2024-07-31,CA,desktop
138,2023-04-22,US,mobile
139,2025-01-12,US,mobile
140,2024-12-09,US,desktop
141,2023-09-25,AU,mobile
142,2024-10-11,IN,tablet
143,2025-07-14,DE,mobile
144,2024-09-02,PH,tablet
145,2024-09-17,GB,desktop
146,2025-01-09,US,mobile
147,2024-08-19,BR,mobile
148,2024-06-24,GB,tablet
149,2023-03-24,US,desktop
150,2026-02-09,US,desktop
151,2023-05-30,US,desktop
152,2024-10-08,AU,mobile
153,2025-02-13,GB,desktop
154,2024-05-19,PH,desktop
155,2025-12-18,IN,desktop
156,2023-12-14,US,desktop
157,2026-01-12,US,mobile
158,2024-12-16,IN,mobile
159,2025-09-09,IN,desktop
160,2025-05-13,IN,mobile
161,2024-10-29,DE,mobile
162,2026-04-26,US,mobile
163,2023-06-28,IN,mobile
164,2023-11-29,CA,mobile
165,2023-04-07,US,mobile
166,2026-02-01,PH,mobile
167,2025-10-08,GB,desktop
168,2024-10-06,US,tablet
169,2023-08-06,US,mobile
170,2025-05-11,US,mobile
171,2025-05-17,IN,tablet
172,2023-08-23,PH,mobile
173,2026-05-01,PH,mobile
174,2023-04-16,US,tablet
175,2025-09-22,BR,desktop
176,2025-04-24,CA,desktop
177,2025-04-18,PH,desktop
178,2023-06-17,US,mobile
179,2023-09-15,US,desktop
180,2025-04-03,US,mobile
181,2025-03-29,GB,desktop
182,2023-09-25,US,mobile
183,2025-06-06,PH,mobile
184,2023-10-11,US,desktop
185,2023-09-21,US,desktop
186,2024-03-27,US,mobile
187,2023-12-15,AU,mobile
188,2025-08-08,IN,mobile
189,2024-07-14,IN,desktop
190,2025-11-22,US,mobile
191,2026-02-24,US,mobile
192,2024-12-22,US,mobile
193,2025-05-23,US,mobile
194,2025-11-06,GB,mobile
195,2024-08-25,CA,mobile
196,2023-07-16,BR,mobile
197,2025-07-16,US,desktop
198,2025-10-05,US,mobile
199,2023-07-22,US,desktop
200,2026-03-28,IN,mobile
201,2024-06-14,US,desktop
202,2024-07-17,US,desktop
203,2024-11-02,US,mobile
204,2024-12-17,US,tablet
205,2026-03-31,AU,mobile
206,2023-08-02,AU,desktop
207,2026-02-12,BR,mobile
208,2025-10-26,IN,mobile
209,2023-07-07,BR,mobile
210,2025-03-07,GB,mobile
211,2024-11-12,CA,mobile
212,2024-04-13,IN,mobile
213,2024-07-12,US,tablet
214,2023-05-09,BR,desktop
215,2023-05-01,DE,desktop
216,2025-06-30,GB,desktop
217,2023-11-21,IN,mobile
218,2024-02-17,AU,mobile
219,2025-07-16,DE,mobile
220,2025-11-09,US,mobile
221,2023-09-22,GB,desktop
222,2023-12-19,IN,mobile
223,2025-02-18,DE,desktop
224,2025-05-24,GB,desktop
225,2024-02-15,US,mobile
226,2025-07-21,US,mobile
227,2024-11-06,CA,mobile
228,2025-08-07,IN,mobile
229,2024-05-08,IN,mobile
230,2025-02-23,US,tablet
231,2024-03-14,GB,desktop
232,2025-04-13,IN,mobile
233,2024-04-30,IN,mobile
234,2024-05-16,US,desktop
235,2024-11-21,IN,desktop
236,2024-08-03,DE,mobile
237,2025-10-06,PH,mobile
238,2023-12-07,AU,tablet
239,2024-01-11,CA,mobile
240,2025-05-22,IN,desktop
241,2024-12-25,US,mobile
242,2023-04-05,US,mobile
243,2025-12-05,US,mobile
244,2024-08-05,IN,desktop
245,2024-08-19,CA,mobile
246,2024-02-28,US,mobile
247,2024-11-27,US,tablet
248,2024-02-17,IN,desktop
249,2025-12-23,PH,mobile
250,2025-11-05,IN,desktop
251,2024-08-17,AU,mobile
252,2025-11-14,BR,mobile
253,2026-04-06,BR,mobile
254,2024-11-08,US,mobile
255,2024-02-03,US,mobile
256,2024-08-30,US,desktop
257,2023-07-13,PH,mobile
258,2025-06-18,AU,mobile
259,2024-11-23,PH,mobile
260,2025-10-04,US,desktop
261,2025-07-08,GB,mobile
262,2024-09-20,IN,mobile
263,2024-05-27,US,mobile
264,2024-03-22,IN,mobile
265,2025-06-29,US,mobile
